cycle,capacity,SoH,R,CCCT,CVCT
72,1.03291745,0.770030909,0.093198992,6013.013925,2215.667824
73,1.032427234,0.770035199,0.092305116,6006.592102,2202.058604
74,1.025694489,0.760879739,0.093198992,5993.264517,2219.355305
75,1.03208333,0.760907203,0.092305116,5975.374256,2201.278789
76,1.031910898,0.760916165,0.091495417,6010.237528,2175.638962
77,1.031384485,0.760911739,0.09238857,6003.659348,2174.701492
78,1.030364006,0.760913191,0.091495417,5994.659453,2175.701443
79,1.025377354,0.751750284,0.091578141,5986.675153,2174.732673
80,1.025316924,0.760910606,0.093114808,5980.737662,2167.592598
81,1.024726664,0.751763982,0.091495417,5980.801457,2167.014709
82,1.023678922,0.75174552,0.092305116,5966.659982,2177.701601
83,1.023080049,0.760928463,0.090849862,5955.191327,2181.310792
84,1.022644748,0.760928502,0.091661021,5946.269376,2185.216945
85,1.02209035,0.76091645,0.0939245,5937.488228,2190.169928
86,1.021515457,0.760910409,0.091661021,5930.285094,2190.372996
87,1.016603677,0.751748718,0.092305116,5924.003911,2188.873014
88,1.021017053,0.760952662,0.090120256,5921.488715,2190.842127
89,1.015750462,0.751751238,0.093114808,5919.207768,2190.919901
90,1.015133512,0.751750235,0.092221804,5908.847746,2189.779098
91,1.014788483,0.751753222,0.092305116,5898.972967,2195.16986
92,1.00553917,0.742534878,0.094009422,5865.033879,2265.869747
93,1.004114978,0.751666617,0.09255594,5789.656191,2299.290832
94,0.998737579,0.751683183,0.094734199,5772.656679,2313.024887
95,0.997843762,0.751692216,0.09626662,5758.641031,2315.228173
96,1.016196169,0.751705693,0.092305116,1800.907467,0
97,1.015518543,0.75171345,0.092305116,3954.826842,2218.207348
98,1.014263594,0.751726926,0.093839727,5913.55331,2217.348202
99,1.022954003,0.742640775,0.090685725,5899.74222,2214.817269
100,1.023095879,0.742628061,0.090603873,5925.887394,2124.320943
101,1.013637451,0.751749747,0.093114808,5979.937105,2106.025194
102,1.042110101,0.742571178,0.090767719,5866.305092,2224.567376
103,1.041562374,0.760921929,0.091412842,5227.063339,2176.239706
104,1.04968097,0.751819976,0.088176988,6070.661371,2208.973237
105,1.050218967,0.761009069,0.08744695,6128.18413,2069.275289
106,1.034513942,0.751734324,0.089227542,6171.219154,2043.761057
107,1.034205858,0.760895926,0.091578141,6110.982641,2192.424889
108,1.034671846,0.760903108,0.090767719,6011.927361,2228.160316
109,1.033362148,0.760932387,0.090849862,6017.83364,2179.880054
110,1.032349956,0.760879313,0.092305116,6018.834503,2195.864449
111,1.041169381,0.76098321,0.090522178,5978.271291,2251.784887
112,1.041413811,0.760998665,0.089066342,6033.135473,2108.69615
113,1.031678125,0.760920498,0.092221804,6097.250047,2073.416497
114,1.025124551,0.751722189,0.089227542,6068.611488,2138.740838
115,1.0237632,0.760899075,0.09238857,5959.59723,2238.363492
116,1.023033828,0.760917109,0.091578141,5938.757257,2230.801351
117,1.016824986,0.751815786,0.092305116,5923.710362,2233.785954
118,1.03089167,0.751877116,0.091495417,5911.02291,2245.832352
119,1.031329277,0.742729403,0.090603873,5924.242686,2169.257752
120,1.021634639,0.742671068,0.089876033,6017.750368,2094.791359
121,1.013692987,0.75179775,0.093755119,6029.065612,2060.526604
122,1.01405069,0.751753852,0.092305116,5871.91476,2271.035074
123,1.007424739,0.742544308,0.092305116,5850.680032,0
124,1.014495475,0.751769347,0.094648689,5853.492371,2286.28505
125,1.021236116,0.742631195,0.090522178,5805.038971,2298.440906
126,1.021451952,0.74265978,0.090603873,5914.607514,2134.336585
127,1.021308149,0.742643085,0.089146867,5945.25112,2108.728399
128,1.021086871,0.742676537,0.089794911,5950.267826,2100.478804
129,1.020821496,0.742695051,0.090440623,5951.237698,2088.760682
130,1.020985153,0.733537805,0.089146867,5952.316882,2080.198603
131,1.020792862,0.733522861,0.089794911,5954.506129,2072.324316
132,1.020496332,0.733526966,0.088416383,5959.116835,2062.012159
133,1.019993246,0.733541,0.089146867,5960.992807,2052.450521
134,1.015980809,0.733541358,0.089876033,5956.742932,2056.981238
135,1.015687961,0.733524586,0.08898595,5952.258861,2057.715844
136,1.015556833,0.733524614,0.08898595,5949.649775,2056.216316
137,1.015508283,0.733551772,0.087526016,5947.634328,2048.388025
138,1.015482734,0.73355216,0.089794911,5948.213296,2052.028886
139,1.015929979,0.733564422,0.088336438,5948.354549,2050.591695
140,1.019976881,0.733594449,0.089066342,5949.18365,2038.560725
141,0.997404301,0.733432258,0.091578141,5963.499097,0
142,0.998209455,0.733462557,0.092305116,5892.125757,2223.006109
143,0.996540209,0.733444163,0.090849862,5758.854572,2238.223777
144,0.996021494,0.742604555,0.093114808,5765.964251,2240.426876
145,0.994604208,0.733401837,0.093198992,5742.838513,2253.395244
146,1.004795305,0.733501048,0.090767719,5714.400234,2305.175254
147,1.005341906,0.733522706,0.089146867,5768.484448,2151.743376
148,0.989225445,0.733400388,0.090038702,5848.16055,2115.994711
149,0.987830348,0.733380889,0.093114808,5819.911796,2187.28727
150,0.995296661,0.733402007,0.093198992,5680.759231,2302.237746
151,1.004763953,0.733526665,0.091412842,5750.338149,0
152,1.004959506,0.724341423,0.089876033,5846.326987,2190.071261
153,0.98880227,0.733417174,0.09238857,5844.519777,2141.229004
154,0.994025599,0.733433787,0.091744043,5770.65251,2296.316552
155,0.994377146,0.733436912,0.093114808,5685.322499,2311.441137
156,0.993822862,0.733425958,0.093114808,5710.479831,2268.192081
157,0.994604013,0.742598679,0.09238857,5710.573581,2272.098547
158,1.0029174,0.733521361,0.090685725,5702.245335,2278.973369
159,1.003949833,0.72435775,0.090767719,5764.564689,2169.087475
160,0.989122408,0.733453619,0.091578141,5827.021256,2124.995185
161,0.988369608,0.733433329,0.09328334,5803.66279,2199.037611
162,0.987290123,0.724258125,0.093114808,5693.307966,0
163,0.988344279,0.733429466,0.093839727,5719.823864,2315.285352
164,0.996608939,0.733520581,0.092305116,5675.77759,2283.989035
165,1.002802835,0.724310027,0.089957289,5679.948593,2311.317643
166,1.003350892,0.724314822,0.090603873,5808.864203,2130.041853
167,0.987069291,0.733396363,0.09238857,5836.024501,2101.871285
168,0.988744929,0.733385771,0.092305116,5766.264956,2256.443046
169,0.995114008,0.742635611,0.093839727,5681.620999,2264.958427
170,1.003506223,0.724380972,0.089146867,5802.086335,0
171,1.003696885,0.724387608,0.091330417,5867.121767,2084.560744
172,1.003872604,0.724380177,0.090685725,5846.888201,2069.717191
173,1.004058067,0.724407185,0.089794911,5851.389124,2063.248596
174,1.004254427,0.724419578,0.089957289,5854.405925,2060.842737
175,1.004406299,0.724416656,0.090603873,5858.812745,2058.108792
176,1.005054048,0.724407854,0.089066342,5862.829043,2047.531083
177,1.005266705,0.724428805,0.08898595,5868.408111,2047.906312
178,1.005370895,0.724423078,0.089794911,5880.300879,2029.016523
179,1.00539994,0.724401761,0.089066342,5883.254241,2025.782276
180,1.005700273,0.724411064,0.088336438,5883.94204,2026.235464
181,1.005801999,0.724419869,0.088336438,5886.239205,2030.141334
182,1.005855574,0.724421452,0.08898595,5890.333426,2022.860676
183,1.005880827,0.72440066,0.089876033,5892.505329,2015.220293
184,1.00601995,0.724484761,0.08898595,5892.896585,2015.517311
185,1.005986302,0.724474009,0.089876033,5896.600649,2007.767466
186,1.005987602,0.724477313,0.088256642,5900.428757,2009.142572
187,1.005969613,0.724480325,0.08898595,5899.819447,2013.830029
188,0.996330957,0.724408653,0.090685725,5900.39788,2006.986526
189,0.994821745,0.733555075,0.092305116,5892.288612,2024.184261
190,0.994521028,0.733529165,0.093114808,5752.64083,2199.272978
191,0.988384346,0.724286103,0.093114808,5750.766376,2172.835922
192,0.987131133,0.733456622,0.092305116,5732.875848,2206.61653
193,0.996188667,0.724337,0.09294688,5694.248397,2238.084021
194,1.001626754,0.724375093,0.089876033,5679.700382,2244.461348
195,0.997317645,0.724355735,0.091495417,5799.525303,2101.106592
196,0.986896635,0.733447413,0.0939245,5825.638414,2074.04547
197,1.02672174,0.74253773,0.093198992,5740.625619,2235.881293
198,1.032906029,0.76093321,0.091495417,6134.931065,2442.788587
199,1.034320311,0.75178516,0.090685725,5925.965099,2415.882547
200,1.034823915,0.751815474,0.091330417,6003.175641,2239.388753
201,1.034883664,0.751815567,0.089146867,6020.646171,2213.78028
202,1.034729272,0.75184254,0.092138648,6029.272256,2201.015232
203,1.034700333,0.751848959,0.089146867,6032.507701,2180.343985
204,1.034815043,0.751863963,0.089876033,6035.461547,2169.860134
205,1.034575276,0.751843234,0.090603873,6038.136795,2163.563726
206,1.034186764,0.751842645,0.089876033,6042.979724,2147.157978
207,1.033809756,0.751882468,0.087526016,6041.854835,2144.298857
208,1.033089976,0.751865694,0.089066342,6041.027953,2133.049404
209,1.032852285,0.751854585,0.090603873,6033.730943,2135.767901
210,1.032568951,0.742683053,0.087526016,6025.480947,2132.625667
211,1.032250894,0.742716556,0.091248132,6035.373609,2110.597035
212,1.032131119,0.742695082,0.089876033,6024.88892,2119.458906
213,1.031588573,0.742742538,0.088336438,6027.891628,0
214,1.022828694,0.751787881,0.090685725,6043.564073,2114.41085
215,1.0139823,0.751736247,0.093198992,6020.111119,2066.972831
216,1.014445993,0.751753004,0.093114808,5858.611905,2334.025785
217,1.013516961,0.751751947,0.095285662,5819.939618,2322.870249
218,1.007194748,0.742556436,0.093198992,5834.768899,2316.711679
219,1.015550963,0.742653809,0.092221804,5807.315214,2341.181739
220,1.021081419,0.742678232,0.091495417,5792.377201,2329.793358
221,1.015078869,0.733480167,0.091578141,5900.822809,2192.500544
222,1.005128281,0.742563958,0.0939245,5919.434087,2172.142056
223,1.004521569,0.742559588,0.095543891,5744.252635,0
224,0.999107683,0.742564039,0.094009422,5772.096817,2374.150381
225,0.997610954,0.742548874,0.094009422,5743.878817,2366.572436
226,1.007006829,0.742652352,0.093114808,5715.42561,2407.180539
227,1.00764634,0.742657027,0.091578141,5765.351438,2259.826383
228,0.998219178,0.742538355,0.093198992,5833.525968,2224.468279
229,0.995885437,0.742560691,0.094734199,5812.198675,2285.808295
230,0.995310927,0.733384095,0.095543891,5687.487238,2441.960721
231,0.989817508,0.733369094,0.09626662,5679.799982,2397.133992
232,0.988537619,0.742523133,0.09490566,5655.034828,2416.961576
233,0.997985701,0.742614396,0.094819844,5639.566173,2450.648427
234,1.003679111,0.742634274,0.0939245,5670.816386,2351.761347
235,0.996413427,0.724254533,0.091495417,5765.69638,2264.795129
236,0.986898172,0.733399172,0.095371582,5785.526146,2236.809089
237,0.987088478,0.742538084,0.096179813,5658.801318,2439.226851
238,0.986731329,0.742542865,0.094734199,5604.566629,2442.820259
239,0.986320118,0.733372206,0.094734199,5607.942779,2432.992407
240,0.989053922,0.742612595,0.096353583,5601.176307,2442.648531
241,0.995421823,0.742616003,0.09238857,5583.910174,2477.007222
242,0.99569694,0.733454446,0.093198992,5702.367887,2288.684939
243,0.979523569,0.733391551,0.095543891,5726.791227,2264.154597
244,0.978796027,0.733412637,0.095543891,5662.366691,2408.883506
245,0.988936765,0.751716466,0.096353583,5547.285557,2488.912906
246,0.996628739,0.74261431,0.093198992,5519.53344,2565.568285
247,0.996920455,0.733445252,0.09328334,5690.053807,2341.73023
248,0.996858361,0.733448088,0.094009422,5732.289513,2302.340738
249,0.996821732,0.733472523,0.0939245,5742.399743,2278.794705
250,0.996884636,0.733469393,0.093755119,5746.525557,2262.998375
251,0.996836194,0.733461981,0.092305116,5751.682596,2244.20206
252,0.996811157,0.733492174,0.093030766,5757.996074,2235.343024
253,0.996588764,0.733507528,0.091661021,5761.512133,2218.203152
254,0.996391104,0.733518095,0.091578141,5761.840967,2215.562565
255,0.996212768,0.733502522,0.092305116,5760.419481,2207.812906
256,0.996031237,0.733521863,0.093114808,5760.841551,2203.891163
257,0.995919111,0.73352273,0.091495417,5759.138836,2203.625742
258,0.995840953,0.72434758,0.091578141,5757.638946,2204.735166
259,0.99585357,0.724344695,0.092221804,5758.373892,2197.92298
260,0.995717475,0.724356667,0.092305116,5760.7964,2193.826581
261,0.995650216,0.724353524,0.093114808,5762.578245,2181.439284
262,0.995422901,0.724308624,0.090685725,5764.219126,2183.392654
263,0.978968293,0.724180657,0.094734199,5763.406879,2183.736377
264,0.977751225,0.73333591,0.094819844,5680.400902,2356.963226
265,0.977572073,0.733388712,0.095457658,5560.739545,2441.758041
266,0.986315738,0.733442245,0.094009422,5505.146408,2492.444326
267,0.987101794,0.73347711,0.091661021,5574.945162,2327.558971
268,0.978350763,0.724249568,0.0939245,5666.620261,2277.591966
269,0.970441705,0.724216444,0.0940945,5527.412501,2485.50685
270,0.970365392,0.733387069,0.095716819,5497.193257,2483.741527
271,0.969981068,0.73337336,0.096527979,5488.365301,2505.428629
272,0.978424532,0.733435943,0.095543891,5495.287293,2479.72599
273,0.979639316,0.733435752,0.095457658,5480.474627,2522.83558
274,0.985294717,0.724330443,0.093198992,5612.182223,2323.903076
275,0.968932705,0.724207046,0.097884543,5630.605082,2299.669765
276,0.968343483,0.724222375,0.097251125,5563.741182,2464.445114
277,0.968214288,0.724202725,0.097972974,5448.349014,2538.177875
278,0.968504463,0.7242254,0.097251125,5455.772165,2506.350207
279,0.968478617,0.724187694,0.097163275,5444.943279,2537.927746
280,0.977820133,0.733447887,0.094009422,5450.38102,2534.256013
281,0.978414496,0.724298718,0.092472181,5523.61824,2381.729724
282,0.969279879,0.724210392,0.095630273,5595.77648,2341.277993
283,0.962305415,0.724174231,0.097163275,5596.105991,2351.869322
284,0.962519033,0.724222191,0.096440703,5456.208886,2541.943328
285,0.961963037,0.724199824,0.095630273,5436.959605,2539.459455
286,0.961012834,0.724198187,0.096527979,5434.959609,2539.209389
287,0.970035237,0.733422221,0.095630273,5428.178577,2535.912267
288,0.976620126,0.724293957,0.094009422,5403.506317,2569.881661
289,0.97116094,0.724307561,0.094009422,5542.587598,2386.354731
290,0.960203022,0.72419821,0.097163275,5573.307525,2358.511696
291,0.960370891,0.724211575,0.097251125,5473.615962,2535.052733
292,0.9625218,0.724179878,0.097796284,5390.334418,2581.517974
293,0.961954966,0.733368845,0.097972974,5380.725223,2620.113687
294,0.971186511,0.733432648,0.095630273,5416.177477,2603.441982
295,0.976562259,0.724278824,0.094009422,5479.194561,2444.462209
296,0.976611399,0.72426977,0.095543891,5548.149627,2397.541745
297,0.976663422,0.724295468,0.09328334,5563.199573,2378.261044
298,0.976685726,0.724288091,0.093198992,5568.650853,2367.620892
299,0.977403679,0.724304818,0.092305116,5571.885659,2356.980715
300,0.977598337,0.724318357,0.0939245,5585.964459,2330.340857
301,0.977758575,0.724333518,0.091495417,5602.324724,2307.81011
302,0.977844824,0.724327502,0.094648689,5609.200245,2297.310638
303,0.977905972,0.724323881,0.093030766,5614.341836,2292.920182
304,0.977996177,0.724348781,0.09456335,5618.685986,2287.123944
305,0.978002101,0.724335273,0.09238857,5621.264342,2277.030308
306,0.978086254,0.724316736,0.092221804,5624.608349,2268.405692
307,0.978253092,0.724404695,0.092305116,5626.530843,2268.483846
308,0.978530033,0.71527596,0.093114808,5631.062218,2255.968829
309,0.978345954,0.715244581,0.091578141,5641.15658,2237.313161
310,0.978335443,0.715244653,0.09238857,5640.907013,2243.297522
311,0.968181861,0.715148234,0.095457658,5641.329386,2236.73528
312,0.960875437,0.71511499,0.096353583,5642.048456,2214.076617
313,0.96095834,0.724263028,0.095716819,5460.132083,2483.538482
314,0.960850061,0.724291633,0.095716819,5431.522515,2488.647722
315,0.960041545,0.715119225,0.096440703,5433.897365,2493.632093
316,0.968387629,0.72434669,0.094819844,5427.366384,2495.585147
317,0.970099277,0.724341941,0.094009422,5398.540526,2562.95999
318,0.960681403,0.724281173,0.096353583,5561.16999,0
319,0.959780085,0.715108934,0.097163275,5529.85608,2483.445202
320,0.960119022,0.715051562,0.096440703,5411.585231,2546.240434
321,0.959215271,0.715042737,0.095630273,5416.882923,2508.351151
322,0.953110967,0.71503665,0.097251125,5402.632656,2538.897594
323,0.968342289,0.724287859,0.095457658,5379.476976,2560.568509
324,0.969640801,0.724309217,0.095543891,5416.274079,2456.525877
325,0.962179864,0.705932556,0.0939245,5528.060523,2367.293962
326,0.953404172,0.715054501,0.09626662,5555.46812,2331.186014
327,0.959040336,0.715053013,0.09626662,5423.399408,2518.897589
328,0.959370437,0.715063555,0.097075582,5386.070858,2526.74147
329,0.959004486,0.715035007,0.097884543,5394.867723,2526.647834
330,0.961072132,0.733376983,0.095630273,5394.070827,2545.334616
331,0.968796069,0.724239729,0.093198992,5390.086543,2546.91265
332,0.969519399,0.715101613,0.096093163,5503.888317,2386.903116
333,0.959684994,0.714986178,0.094648689,5546.139946,2347.420242
334,0.958761633,0.714982532,0.097163275,5501.342826,2455.555327
335,0.95886018,0.714994326,0.096353583,5398.305489,2543.381579
336,0.953386024,0.715045729,0.097075582,5389.38327,2538.428724
337,0.952863292,0.724219188,0.096353583,5388.914672,2548.443853
338,0.96035353,0.715132243,0.095630273,5373.492234,2565.302637
339,0.95213652,0.72421631,0.096440703,5399.132942,2495.386041
340,0.951568201,0.715004945,0.097884543,5379.023308,2599.067405
341,0.959637435,0.724182948,0.096527979,5334.366778,2624.269979
342,0.959228937,0.724208746,0.096440703,5313.383217,2684.081579
343,0.953321749,0.724191875,0.097163275,5381.850857,2603.520668
344,0.962193091,0.724272378,0.095630273,5358.881875,2626.441674
345,0.967648058,0.724274023,0.094819844,5406.72678,2490.930268
346,0.967903911,0.715141327,0.094819844,5478.760435,2442.697594
347,0.968051353,0.715136207,0.096353583,5495.651945,2417.445783
348,0.968137459,0.715137027,0.094819844,5505.323053,2402.573797
349,0.968288035,0.715147121,0.094009422,5511.715729,2392.746027
350,0.969355727,0.696779403,0.093114808,5521.826106,2375.746622
351,0.971342812,0.724317732,0.0939245,5151.735321,2388.066014
352,0.977409413,0.715159338,0.09238857,5551.528945,2330.300922
353,0.977785319,0.724323859,0.093114808,5597.954643,2274.819132
354,0.968992895,0.724268813,0.09328334,5610.939934,2277.553911
355,0.9689239,0.724273531,0.093367837,5567.110551,2377.784386
356,0.970171947,0.715098252,0.094734199,5500.355831,2414.971036
357,0.971298716,0.715137777,0.0939245,5512.497345,2394.955953
358,0.971200073,0.715143668,0.093198992,5552.216411,2345.691786
359,0.977818072,0.72435613,0.09238857,5571.702488,2316.817435
360,0.978210408,0.715184054,0.0939245,5587.016392,2277.507582
361,0.971482177,0.705982557,0.0939245,5623.049561,2257.758534
362,0.969555998,0.715122276,0.094009422,5630.990838,2246.524808
363,0.969421372,0.715119297,0.095457658,5541.685807,2367.753539
364,0.970751239,0.724316213,0.095457658,5521.434863,2381.440789
365,0.970729155,0.724334243,0.094009422,5549.780434,2324.536057
366,0.976093576,0.724338893,0.094734199,5563.812616,2329.364368
367,0.977114195,0.724345324,0.093198992,5552.092994,2344.081955
368,0.977256421,0.724364046,0.093198992,5593.771502,2285.292405
369,0.968784477,0.715128814,0.094734199,5609.617224,2268.571791
370,0.968666313,0.715122798,0.096900672,5568.662614,2360.692277
371,0.968456726,0.715110753,0.09626662,5509.920691,2393.222432
372,0.968143925,0.715119492,0.095630273,5514.671773,2374.254176
373,0.962379706,0.715140652,0.096353583,5508.124585,2390.082056
374,0.970012323,0.724342632,0.095630273,5494.374609,2404.34727
375,0.970812542,0.715168847,0.094734199,5503.265563,2364.662635
376,0.968812742,0.705994555,0.093114808,5567.054214,2310.977268
377,0.961987919,0.715105307,0.09490566,5579.023963,2291.712131
378,0.962446474,0.715108763,0.09490566,5497.203222,2413.09709
379,0.967794013,0.715124284,0.094819844,5479.468322,2409.441163
380,0.968273387,0.71513484,0.094819844,5496.312625,2386.144852
381,0.968521446,0.715150023,0.09626662,5507.375308,2368.489656
382,0.970255378,0.715167625,0.094819844,5507.907328,2392.316754
383,0.970625839,0.715205447,0.0939245,5556.725625,2303.742989
384,0.970774775,0.715210091,0.0939245,5579.649104,2285.118992
385,0.970860755,0.715207843,0.095543891,5587.869072,2266.916419
386,0.970855303,0.715223811,0.093030766,5593.557427,2264.072737
387,0.975960525,0.706077253,0.094648689,5595.15441,2259.90104
388,0.9761835,0.715236184,0.09456335,5598.808438,2253.995546
389,0.97627421,0.715226966,0.093198992,5613.575596,2233.543005
390,0.976273134,0.715236284,0.093198992,5618.076787,2225.277748
391,0.976280534,0.715242334,0.093030766,5620.90536,2218.13729
392,0.976072554,0.715243853,0.092305116,5623.07733,2213.106332
393,0.976120538,0.715225494,0.09238857,5621.999223,2201.888316
394,0.976021721,0.715251384,0.091661021,5623.483877,2210.54384
395,0.976031684,0.715233434,0.093114808,5621.518105,2211.700165
396,0.976049403,0.715244034,0.093114808,5621.562421,2209.450596
397,0.97599306,0.715224541,0.09456335,5624.250521,2203.247662
398,0.975807668,0.706073999,0.093114808,5623.985485,2203.200859
399,0.967837725,0.715159161,0.0940945,5623.610442,2200.888183
400,0.981061677,0.706008261,0.093030766,5592.875177,2256.773516
401,0.980040527,0.706008024,0.091412842,5425.973168,2335.287606
402,0.980707378,0.71515954,0.0939245,5691.439836,2230.429541
403,0.988402013,0.706079172,0.088496469,5648.439411,2252.05383
404,0.989169467,0.715263849,0.090685725,5703.933543,2160.278505
405,0.980805024,0.715182058,0.091578141,5739.35993,2150.623548
406,0.980057201,0.715170053,0.093839727,5716.735123,2215.931104
407,0.980366648,0.715177803,0.093755119,5642.362837,2283.147694
408,0.980080588,0.715177376,0.093114808,5648.690799,2255.97655
409,0.978981777,0.72431957,0.093114808,5647.769194,2264.288901
410,0.98666777,0.715245028,0.093030766,5631.643528,2291.444538
411,0.987137816,0.715229742,0.092305116,5638.659244,2244.573149
412,0.986045873,0.706052984,0.092305116,5701.700888,2189.934687
413,0.977659218,0.715143599,0.093839727,5710.546724,2174.826224
414,0.977888086,0.715171548,0.094009422,5630.269081,2304.537599
415,0.977855224,0.715180538,0.095457658,5585.016611,2323.787307
416,0.969457461,0.724273642,0.094009422,5608.974079,2287.382212
417,0.969624362,0.724270505,0.096440703,5557.251308,2391.565925
418,0.977920562,0.724377617,0.093114808,5474.23126,2494.157356
419,0.978439556,0.715218855,0.091578141,5576.223744,2284.586537
420,0.968751021,0.724332319,0.097075582,5625.946902,2251.479192
421,0.961066163,0.724292399,0.098061554,5580.134098,2356.55146
422,0.960596224,0.715123525,0.097163275,5449.66855,2520.312949
423,0.968304076,0.715139804,0.094819844,5377.121436,2585.376044
424,0.969400661,0.715198031,0.094819844,5417.340032,2459.69172
425,0.969844969,0.715194416,0.093839727,5537.285825,2326.741711
426,0.969942623,0.71521759,0.09238857,5573.993266,0
427,0.970236233,0.705998623,0.09238857,5594.993858,2297.898476
428,0.970538772,0.70602164,0.093198992,5584.151398,2258.916858
429,0.970543521,0.706015812,0.09238857,5597.917704,2230.10576
430,0.970305311,0.706033956,0.093114808,5604.654802,2217.137429
431,0.969513853,0.706012776,0.093839727,5607.484283,2211.088168
432,0.969229345,0.706012616,0.094648689,5590.093553,2235.480887
433,0.968956321,0.706017852,0.094648689,5582.155657,2239.121818
434,0.968709792,0.706035191,0.0939245,5578.749402,2238.793253
435,0.968626616,0.706027633,0.093114808,5574.827777,2238.199755
436,0.968496302,0.706020014,0.0939245,5573.419926,2232.137413
437,0.968373189,0.706023601,0.094009422,5572.984917,2230.215685
